supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
Rio Linda - Elverta Community Water District,308031542.0,250800564.0,409145568.0,-0.24713459929254322,-0.38701385615400336,0.13987925686146013,268.986073740562,2.2941310042067826
Sonoma  City of,211914217.03518,164673906.405855,251654079.51781902,-0.15791463646757664,-0.3456338688354351,0.18771923236785848,147.51459288375202,2.2799549307163325
"Rio Vista, city of",243076000.0,197420000.0,299430000.0,-0.188204254750693,-0.34068062652372844,0.15247637177303544,222.27799221149166,2.2732687500240196
West Sacramento  City of,1339901067.824,1037836794.995,1733203740.2129998,-0.2269223538259071,-0.4012032336905433,0.17428087986463617,167.02746979572967,2.252390541668579
Hillsborough  Town of,347129018.157712,283193766.2141,501838877.887228,-0.3082859191397324,-0.4356878697673587,0.12740195062762627,306.180784110913,2.2292821720521645
Calaveras County Water District,587404000.0,444689000.0,711412000.0,-0.17431249402596527,-0.37492058047938465,0.20060808645341938,123.23056516482063,2.226935586940464
Los Angeles County Public Works Waterworks District 40,4961110785.6748905,3948928273.5276,6464892311.68,-0.2326073588709677,-0.38917338709677424,0.15656602822580654,199.95320261223802,2.2139189457165083
Shasta Lake  City of,232076200.0,184362900.0,300779200.0,-0.22841672562464427,-0.38704903796539125,0.15863231234074698,194.24067590216,2.2108625601044785
Atwater  City of,889952460.0,729210000.0,1145822930.0,-0.22330716492119773,-0.3635927673397145,0.14028560241851679,245.73376834335667,2.1991027506958467
Castaic Lake Water Agency Santa Clarita Water Division,2678172878.513,2122270344.0509999,3248087024.336,-0.17546147672552165,-0.34660914927768866,0.171147672552167,164.32157185873467,2.1939073738166384
Los Angeles County Public Works Waterworks District 29,703839082.3199999,602528615.15143,791493116.183,-0.11074516261836151,-0.23874433923425273,0.12799917661589122,281.61091100744864,2.1479883161707423
Linda County Water District,361793000.0,288503000.0,469593000.0,-0.22956049174497917,-0.385631813080689,0.15607132133570983,188.07981504095733,2.140396350183934
